,timestamp,location,price,last4ccnum,date,loyaltynum,date_new
23,6/1/2014 8:06,Brew've Been Served,15.58,4434,6/1/2014,L2169,6/1/2014
24,6/1/2014 8:06,Brew've Been Served,18.24,3853,6/1/2014,L1485,6/1/2014
25,6/1/2014 8:07,Brew've Been Served,5.66,6901,6/1/2014,L9363,6/1/2014
26,6/1/2014 8:14,Coffee Cameleon,3.2,2418,6/1/2014,L9018,NA
27,6/1/2014 8:16,Brew've Been Served,11.2,8411,6/1/2014,L6110,6/1/2014
28,6/1/2014 8:16,Brew've Been Served,14.97,1286,6/1/2014,L3572,6/1/2014
29,6/1/2014 8:17,Brew've Been Served,15.39,8202,6/1/2014,L2343,6/1/2014
30,6/1/2014 8:23,Abila Airport,4540.08,9220,6/1/2014,L4063,6/1/2014
31,6/1/2014 9:06,Kronos Pipe and Irrigation,242.21,9220,6/1/2014,L4063,6/1/2014
32,6/1/2014 10:02,Nationwide Refinery,761.64,9735,6/1/2014,L9633,6/1/2014
33,6/1/2014 10:18,Maximum Iron and Steel,2859.51,9220,6/1/2014,L4063,6/1/2014
34,6/1/2014 11:33,Stewart and Sons Fabrication,2144.62,9735,6/1/2014,L9633,6/1/2014
35,6/1/2014 11:57,Carlyle Chemical Inc.,3959.66,9220,6/1/2014,L4063,6/1/2014
36,6/1/2014 12:00,Bean There Done That,4.27,6895,6/1/2014,L3366,6/1/2014
37,6/1/2014 12:00,Bean There Done That,5.24,1321,6/1/2014,L4149,6/1/2014
38,6/1/2014 12:00,Bean There Done That,8.54,1877,6/1/2014,L3014,6/1/2014
39,6/1/2014 12:00,Bean There Done That,10.28,1415,6/1/2014,L7783,6/1/2014
40,6/1/2014 12:00,Bean There Done That,16.09,9635,6/1/2014,L3191,6/1/2014
41,6/1/2014 12:00,Brewed Awakenings,4.35,8332,6/1/2014,L2070,6/1/2014
42,6/1/2014 12:00,Brewed Awakenings,5.72,7688,6/1/2014,L4164,6/1/2014
43,6/1/2014 12:00,Brewed Awakenings,16.89,2540,6/1/2014,L5947,6/1/2014
44,6/1/2014 12:00,Coffee Shack,51.51,7117,6/1/2014,L6417,NA
45,6/1/2014 12:00,Jack's Magical Beans,11.03,6899,6/1/2014,L6267,6/1/2014
46,6/1/2014 12:00,Jack's Magical Beans,18.1,2463,6/1/2014,L6886,6/1/2014
47,6/1/2014 12:00,Jack's Magical Beans,18.59,9241,6/1/2014,L3288,6/1/2014
48,6/1/2014 12:00,Jack's Magical Beans,27.84,8156,6/1/2014,L5224,NA
49,6/1/2014 12:16,Abila Airport,1873.79,8642,6/1/2014,L2769,NA
50,6/1/2014 12:56,Katerina’s Café,13.68,8332,6/1/2014,L2070,NA
51,6/1/2014 12:57,Hippokampos,9.16,8156,6/1/2014,L5224,NA
52,6/1/2014 13:18,Abila Zacharo,106.93,2418,6/1/2014,L9018,NA
53,6/1/2014 13:19,Gelatogalore,12.74,7253,6/1/2014,L1682,6/1/2014
54,6/1/2014 13:19,Kalami Kafenion,70.1,3484,6/1/2014,L2490,NA
55,6/1/2014 13:20,Hippokampos,34.03,6691,6/1/2014,L6267,6/1/2014
56,6/1/2014 13:21,Hippokampos,28.23,9551,6/1/2014,L5777,NA
57,6/1/2014 13:22,Ouzeri Elian,38.9,2540,6/1/2014,L5947,6/1/2014
58,6/1/2014 13:23,Hippokampos,13.26,4795,6/1/2014,L8566,6/1/2014
59,6/1/2014 13:24,Guy's Gyros,15.44,1415,6/1/2014,L7783,6/1/2014
60,6/1/2014 13:27,Abila Zacharo,30.08,7688,6/1/2014,L4164,6/1/2014
61,6/1/2014 13:27,Abila Zacharo,50.14,1286,6/1/2014,L3288,6/1/2014
62,6/1/2014 13:28,Kalami Kafenion,8.64,5407,6/1/2014,L4034,6/1/2014
63,6/1/2014 13:28,Katerina’s Café,33.54,8411,6/1/2014,L6110,6/1/2014
64,6/1/2014 13:30,Guy's Gyros,16.92,7384,6/1/2014,L3800,6/1/2014
65,6/1/2014 13:35,Abila Zacharo,92.05,7354,6/1/2014,L9254,NA
66,6/1/2014 13:35,Hippokampos,36.54,2681,6/1/2014,L1107,6/1/2014
67,6/1/2014 13:37,Ouzeri Elian,20.56,6816,6/1/2014,L8148,6/1/2014
68,6/1/2014 13:39,Guy's Gyros,11.22,1310,6/1/2014,L8012,6/1/2014
69,6/1/2014 13:41,Gelatogalore,22.64,7889,6/1/2014,L6119,6/1/2014
70,6/1/2014 13:42,Ouzeri Elian,20.4,6895,6/1/2014,L3366,6/1/2014
71,6/1/2014 13:46,Guy's Gyros,30.82,9635,6/1/2014,L3191,6/1/2014
72,6/1/2014 13:46,Guy's Gyros,99.67,2463,6/1/2014,L6886,NA
73,6/1/2014 13:46,Katerina’s Café,18.56,6899,6/1/2014,L6267,6/1/2014
74,6/1/2014 13:47,Kalami Kafenion,22.13,1321,6/1/2014,L4149,NA
75,6/1/2014 13:48,Ouzeri Elian,20.74,5368,6/1/2014,L2247,6/1/2014
76,6/1/2014 13:48,Ouzeri Elian,30.87,5921,6/1/2014,L3295,6/1/2014
77,6/1/2014 13:50,Katerina’s Café,13.59,1874,6/1/2014,L4424,6/1/2014
78,6/1/2014 13:50,Katerina’s Café,32.64,9617,6/1/2014,L5553,6/1/2014
79,6/1/2014 13:52,Gelatogalore,36.33,3492,6/1/2014,L7814,6/1/2014
80,6/1/2014 13:52,Kalami Kafenion,22.31,4434,6/1/2014,L2169,6/1/2014
81,6/1/2014 13:53,Katerina’s Café,36.95,2142,6/1/2014,L9637,NA
82,6/1/2014 13:54,Abila Zacharo,23.15,9405,6/1/2014,L3259,6/1/2014
83,6/1/2014 13:57,Hippokampos,8.64,1877,6/1/2014,L3014,6/1/2014
84,6/1/2014 13:58,Hippokampos,38.25,8202,6/1/2014,L2343,6/1/2014
85,6/1/2014 13:59,Katerina’s Café,39.41,3853,6/1/2014,L1485,6/1/2014
86,6/1/2014 14:00,Gelatogalore,23.41,7819,6/1/2014,L5259,6/1/2014
87,6/1/2014 14:00,Kalami Kafenion,13.08,7117,6/1/2014,L6417,6/1/2014
88,6/1/2014 14:04,Hippokampos,30.88,4948,6/1/2014,L9406,6/1/2014
89,6/1/2014 14:05,Abila Zacharo,78.11,7108,6/1/2014,L6544,NA
90,6/1/2014 14:15,Kalami Kafenion,27.4,8129,6/1/2014,L8328,6/1/2014
91,6/1/2014 14:17,Katerina’s Café,19.65,6901,6/1/2014,L9363,6/1/2014
92,6/1/2014 15:14,Abila Airport,777.06,9220,6/1/2014,L4063,6/1/2014
93,6/1/2014 15:39,Abila Airport,612.47,8642,6/1/2014,L2769,6/1/2014
94,6/1/2014 17:28,U-Pump,59.51,3484,6/1/2014,L2490,6/1/2014
95,6/1/2014 18:56,Katerina’s Café,78.65,8411,6/1/2014,L6110,NA
96,6/1/2014 19:08,Katerina’s Café,26.46,8129,6/1/2014,L8328,6/1/2014
97,6/1/2014 19:18,Guy's Gyros,39.29,7384,6/1/2014,L3800,6/1/2014
98,6/1/2014 19:50,Frydos Autosupply n' More,273.87,9241,6/1/2014,L3288,NA
99,6/1/2014 20:07,Katerina’s Café,23.63,7253,6/1/2014,L1682,6/1/2014
100,6/1/2014 20:08,Katerina’s Café,12.32,1874,6/1/2014,L4424,6/1/2014
101,6/1/2014 20:09,Guy's Gyros,11.94,6901,6/1/2014,L9363,6/1/2014
102,6/1/2014 20:12,Frydos Autosupply n' More,80.85,8202,6/1/2014,L2343,6/1/2014
103,6/1/2014 20:13,Guy's Gyros,22.57,3484,6/1/2014,L2490,6/1/2014
104,6/1/2014 20:15,Frydos Autosupply n' More,175.87,5368,6/1/2014,L2247,6/1/2014
105,6/1/2014 20:15,Guy's Gyros,117.82,6816,6/1/2014,L8148,NA
106,6/1/2014 20:19,Katerina’s Café,21.66,2418,6/1/2014,L9018,NA
107,6/1/2014 20:20,Hippokampos,35.34,1321,6/1/2014,L4149,6/1/2014
108,6/1/2014 20:24,Guy's Gyros,28.94,7819,6/1/2014,L5259,6/1/2014
109,6/1/2014 20:26,Albert's Fine Clothing,276.9,9551,6/1/2014,L5777,6/1/2014
110,6/1/2014 20:28,Guy's Gyros,95.29,7108,6/1/2014,L6544,NA
111,6/1/2014 20:29,Hippokampos,85.5,6895,6/1/2014,L3366,NA
112,6/1/2014 20:29,Katerina’s Café,17.92,9405,6/1/2014,L3259,6/1/2014
113,6/1/2014 20:30,Katerina’s Café,28,6691,6/1/2014,L6267,6/1/2014
114,6/1/2014 20:33,Katerina’s Café,15.52,5921,6/1/2014,L3295,6/1/2014
115,6/1/2014 20:36,Hippokampos,26.8,1877,6/1/2014,L3014,6/1/2014
116,6/1/2014 20:46,Hippokampos,21.33,1415,6/1/2014,L7783,6/1/2014
117,6/1/2014 20:46,Hippokampos,24.41,7117,6/1/2014,L6417,6/1/2014
118,6/1/2014 20:47,Frydos Autosupply n' More,149.3,5407,6/1/2014,L4034,NA
119,6/1/2014 20:49,Shoppers' Delight,293.67,7354,6/1/2014,L9254,6/1/2014
120,6/1/2014 20:52,Hippokampos,17.27,7688,6/1/2014,L4164,6/1/2014
121,6/1/2014 20:59,Katerina’s Café,26.1,3492,6/1/2014,L7814,6/1/2014
122,6/1/2014 21:03,Albert's Fine Clothing,121.76,4434,6/1/2014,L2169,6/1/2014
123,6/1/2014 21:03,Katerina’s Café,10.72,9617,6/1/2014,L5553,NA
124,6/1/2014 21:11,Hippokampos,28.14,8156,6/1/2014,L5224,NA
125,6/1/2014 21:12,Katerina’s Café,26.51,4948,6/1/2014,L9406,6/1/2014
126,6/1/2014 21:23,Frydos Autosupply n' More,197.32,2142,6/1/2014,L9637,6/1/2014
127,6/1/2014 21:32,Frydos Autosupply n' More,314.98,1310,6/1/2014,L8012,NA
128,6/1/2014 21:52,Hippokampos,20.61,8332,6/1/2014,L2070,6/1/2014
129,7/1/2014 7:27,Brew've Been Served,5.08,7384,7/1/2014,L3800,7/1/2014
130,7/1/2014 7:31,Brew've Been Served,12.74,5368,7/1/2014,L2247,7/1/2014
131,7/1/2014 7:33,Brew've Been Served,7.09,4795,7/1/2014,L8566,NA
132,7/1/2014 7:35,Hallowed Grounds,14.05,7889,7/1/2014,L6119,7/1/2014
133,7/1/2014 7:37,Hallowed Grounds,8.91,8129,7/1/2014,L8328,7/1/2014
134,7/1/2014 7:41,Hallowed Grounds,19.59,1874,7/1/2014,L4424,NA
135,7/1/2014 7:45,Brew've Been Served,19.6,6816,7/1/2014,L8148,NA
136,7/1/2014 7:46,Coffee Cameleon,9.1,5921,7/1/2014,L3295,7/1/2014
137,7/1/2014 7:46,Hallowed Grounds,84.44,9551,7/1/2014,L5777,NA
138,7/1/2014 7:47,Hallowed Grounds,7.88,1310,7/1/2014,L8012,7/1/2014
139,7/1/2014 7:48,Hallowed Grounds,18.97,7108,7/1/2014,L6544,7/1/2014
140,7/1/2014 7:49,Coffee Cameleon,27.66,7253,7/1/2014,L1682,NA
141,7/1/2014 7:50,Brew've Been Served,4.39,5407,7/1/2014,L4034,7/1/2014
142,7/1/2014 7:50,Hallowed Grounds,9.61,3492,7/1/2014,L7814,7/1/2014
143,7/1/2014 7:52,Brew've Been Served,3,4434,7/1/2014,L2169,7/1/2014
144,7/1/2014 7:54,Brew've Been Served,11.92,1286,7/1/2014,L3572,7/1/2014
145,7/1/2014 7:55,Brew've Been Served,69.06,3484,7/1/2014,L2490,NA
146,7/1/2014 7:56,Brew've Been Served,98.53,9683,7/1/2014,L7291,NA
147,7/1/2014 7:57,Hallowed Grounds,10.33,6691,7/1/2014,L6267,7/1/2014
148,7/1/2014 7:58,Brew've Been Served,17.4,8202,7/1/2014,L2343,7/1/2014
149,7/1/2014 8:00,Brew've Been Served,11.91,4948,7/1/2014,L9406,7/1/2014
150,7/1/2014 8:00,Coffee Cameleon,11.55,2142,7/1/2014,L9637,7/1/2014
151,7/1/2014 8:01,Coffee Cameleon,52.44,2418,7/1/2014,L9018,NA
152,7/1/2014 8:01,Hallowed Grounds,9.92,9617,7/1/2014,L5553,7/1/2014
153,7/1/2014 8:01,Hallowed Grounds,68.42,2681,7/1/2014,L1107,NA
154,7/1/2014 8:02,Brew've Been Served,14.49,9405,7/1/2014,L3259,7/1/2014
155,7/1/2014 8:06,Brew've Been Served,3.03,7819,7/1/2014,L5259,NA
156,7/1/2014 8:09,Brew've Been Served,15.66,8411,7/1/2014,L6110,7/1/2014
157,7/1/2014 8:18,Brew've Been Served,47.74,6901,7/1/2014,L9363,NA
158,7/1/2014 9:17,Abila Airport,3840.37,3506,7/1/2014,L7761,7/1/2014
159,7/1/2014 10:05,Stewart and Sons Fabrication,1200.9,3506,7/1/2014,L7761,7/1/2014
160,7/1/2014 10:11,Nationwide Refinery,1347.36,9735,7/1/2014,L9633,7/1/2014
161,7/1/2014 11:31,Stewart and Sons Fabrication,1843.33,9735,7/1/2014,L9633,NA
162,7/1/2014 11:39,Nationwide Refinery,1562.66,7792,7/1/2014,L5756,7/1/2014
163,7/1/2014 12:00,Bean There Done That,8.03,1321,7/1/2014,L4149,7/1/2014
164,7/1/2014 12:00,Bean There Done That,46.25,6895,7/1/2014,L3366,NA
165,7/1/2014 12:00,Bean There Done That,51.25,1415,7/1/2014,L7783,NA
166,7/1/2014 12:00,Bean There Done That,53.89,1877,7/1/2014,L3014,NA
167,7/1/2014 12:00,Brewed Awakenings,6.72,8332,7/1/2014,L2070,7/1/2014
168,7/1/2014 12:00,Brewed Awakenings,12.17,7688,7/1/2014,L4164,NA
169,7/1/2014 12:00,Brewed Awakenings,64.84,3853,7/1/2014,L1485,NA
170,7/1/2014 12:00,Brewed Awakenings,71.59,2540,7/1/2014,L5947,NA
171,7/1/2014 12:00,Coffee Shack,16.63,7117,7/1/2014,L6417,7/1/2014
172,7/1/2014 12:00,Jack's Magical Beans,18.77,9241,7/1/2014,L3288,7/1/2014
173,7/1/2014 12:00,Jack's Magical Beans,19.61,8156,7/1/2014,L5224,7/1/2014
174,7/1/2014 12:00,Jack's Magical Beans,23.68,6899,7/1/2014,L6267,NA
175,7/1/2014 12:00,Jack's Magical Beans,69.84,2463,7/1/2014,L6886,NA
176,7/1/2014 12:02,Nationwide Refinery,1071.04,3506,7/1/2014,L7761,NA
177,7/1/2014 12:29,Abila Airport,124.89,8642,7/1/2014,L2769,7/1/2014
178,7/1/2014 13:08,Katerina’s Café,59.07,7792,7/1/2014,L5756,NA
179,7/1/2014 13:13,Guy's Gyros,29.57,8156,7/1/2014,L5224,7/1/2014
180,7/1/2014 13:20,Abila Zacharo,13.52,1415,7/1/2014,L7783,7/1/2014
181,7/1/2014 13:20,Gelatogalore,35.06,8332,7/1/2014,L2070,7/1/2014
182,7/1/2014 13:20,Guy's Gyros,38.56,7354,7/1/2014,L9254,7/1/2014
183,7/1/2014 13:24,Kalami Kafenion,11.64,5407,7/1/2014,L4034,7/1/2014
184,7/1/2014 13:24,Kalami Kafenion,45.05,1286,7/1/2014,L3288,7/1/2014
185,7/1/2014 13:25,Abila Zacharo,82.25,6899,7/1/2014,L6267,NA
186,7/1/2014 13:29,Ouzeri Elian,29.1,2142,7/1/2014,L9637,7/1/2014
187,7/1/2014 13:30,Gelatogalore,51.64,1310,7/1/2014,L8012,NA
188,7/1/2014 13:32,Ouzeri Elian,28.37,4948,7/1/2014,L9406,7/1/2014
189,7/1/2014 13:33,Abila Zacharo,52.72,7688,7/1/2014,L4164,NA
190,7/1/2014 13:33,Gelatogalore,34.04,7253,7/1/2014,L1682,7/1/2014
191,7/1/2014 13:33,Guy's Gyros,11.31,6816,7/1/2014,L8148,7/1/2014
192,7/1/2014 13:33,Kalami Kafenion,18.06,4795,7/1/2014,L8566,7/1/2014
193,7/1/2014 13:33,Katerina’s Café,22.27,7889,7/1/2014,L6119,7/1/2014
194,7/1/2014 13:34,Ouzeri Elian,64.84,6895,7/1/2014,L3366,NA
195,7/1/2014 13:35,Gelatogalore,8.98,2463,7/1/2014,L6886,7/1/2014
196,7/1/2014 13:37,Gelatogalore,21.52,9551,7/1/2014,L5777,7/1/2014
197,7/1/2014 13:39,Gelatogalore,17.21,9405,7/1/2014,L3259,7/1/2014
198,7/1/2014 13:41,Abila Zacharo,17.81,9683,7/1/2014,L7291,7/1/2014
199,7/1/2014 13:41,Katerina’s Café,51.41,3484,7/1/2014,L2490,NA
200,7/1/2014 13:42,Ouzeri Elian,97.71,5368,7/1/2014,L2247,NA
201,7/1/2014 13:44,Abila Zacharo,32.4,2418,7/1/2014,L9018,7/1/2014
202,7/1/2014 13:45,Kalami Kafenion,22.83,1877,7/1/2014,L3014,7/1/2014
203,7/1/2014 13:46,Guy's Gyros,10.11,9635,7/1/2014,L3191,7/1/2014
204,7/1/2014 13:46,Kalami Kafenion,22.14,7108,7/1/2014,L6544,7/1/2014
205,7/1/2014 13:49,Gelatogalore,36.5,2681,7/1/2014,L1107,7/1/2014
206,7/1/2014 13:50,Ouzeri Elian,21.85,8411,7/1/2014,L6110,7/1/2014
207,7/1/2014 13:52,Gelatogalore,71.77,1874,7/1/2014,L4424,NA
208,7/1/2014 13:53,Hippokampos,51.69,3853,7/1/2014,L1485,NA
209,7/1/2014 13:54,Gelatogalore,88.97,5921,7/1/2014,L3295,NA
210,7/1/2014 13:55,Abila Zacharo,65.9,7819,7/1/2014,L5259,NA
211,7/1/2014 13:56,Ouzeri Elian,16.2,1321,7/1/2014,L4149,NA
212,7/1/2014 13:57,Gelatogalore,15.4,6691,7/1/2014,L6267,7/1/2014
213,7/1/2014 13:57,Katerina’s Café,37.44,8202,7/1/2014,L2343,7/1/2014
214,7/1/2014 14:00,Hippokampos,76.11,3492,7/1/2014,L7814,NA
215,7/1/2014 14:07,Katerina’s Café,10.9,4434,7/1/2014,L2169,7/1/2014
216,7/1/2014 14:09,Guy's Gyros,12.57,9617,7/1/2014,L5553,7/1/2014
217,7/1/2014 14:09,Ouzeri Elian,59.51,6901,7/1/2014,L9363,NA
218,7/1/2014 14:11,Hippokampos,37.57,8129,7/1/2014,L8328,7/1/2014
219,7/1/2014 14:16,Abila Scrapyard,2149.28,2276,7/1/2014,L3317,7/1/2014
220,7/1/2014 14:19,Kronos Pipe and Irrigation,3920.82,4530,7/1/2014,L8477,7/1/2014
221,7/1/2014 14:34,Carlyle Chemical Inc.,4803.13,7792,7/1/2014,L5756,NA
222,7/1/2014 15:03,Stewart and Sons Fabrication,962.2,2276,7/1/2014,L3317,NA
223,7/1/2014 15:20,Maximum Iron and Steel,3207.31,4530,7/1/2014,L8477,7/1/2014
224,7/1/2014 15:41,Abila Airport,3411.29,8642,7/1/2014,L2769,7/1/2014
225,7/1/2014 16:24,Nationwide Refinery,889.58,2276,7/1/2014,L3317,7/1/2014
226,7/1/2014 19:45,Guy's Gyros,14.87,7819,7/1/2014,L5259,7/1/2014
227,7/1/2014 19:48,Guy's Gyros,31.23,3484,7/1/2014,L2490,7/1/2014
228,7/1/2014 20:01,Hippokampos,20.17,1877,7/1/2014,L3014,7/1/2014
229,7/1/2014 20:02,Hippokampos,11.56,1415,7/1/2014,L7783,7/1/2014
230,7/1/2014 20:04,Albert's Fine Clothing,308.36,6895,7/1/2014,L3366,NA
231,7/1/2014 20:09,Katerina’s Café,19.49,7253,7/1/2014,L1682,7/1/2014
232,7/1/2014 20:10,Albert's Fine Clothing,78.91,7117,7/1/2014,L6417,7/1/2014
233,7/1/2014 20:10,Guy's Gyros,26.82,4795,7/1/2014,L8566,NA
234,7/1/2014 20:10,Guy's Gyros,42.25,7384,7/1/2014,L3800,NA
235,7/1/2014 20:11,Guy's Gyros,76.71,9683,7/1/2014,L7291,NA
236,7/1/2014 20:11,Katerina’s Café,10.07,2142,7/1/2014,L9637,7/1/2014
237,7/1/2014 20:12,Katerina’s Café,55.63,1874,7/1/2014,L4424,NA
238,7/1/2014 20:13,Katerina’s Café,65.02,8202,7/1/2014,L2343,NA
239,7/1/2014 20:13,Katerina’s Café,94.75,7889,7/1/2014,L6119,NA
240,7/1/2014 20:14,Guy's Gyros,62.33,3853,7/1/2014,L1485,NA
241,7/1/2014 20:15,Ouzeri Elian,11.41,9241,7/1/2014,L3288,7/1/2014
242,7/1/2014 20:18,Katerina’s Café,31.6,8411,7/1/2014,L6110,7/1/2014
243,7/1/2014 20:19,Guy's Gyros,89.76,7354,7/1/2014,L9254,NA
244,7/1/2014 20:20,Frydos Autosupply n' More,312.73,6901,7/1/2014,L9363,NA
245,7/1/2014 20:32,Katerina’s Café,19.53,5921,7/1/2014,L3295,7/1/2014
246,7/1/2014 20:33,Katerina’s Café,17.26,9617,7/1/2014,L5553,7/1/2014
247,7/1/2014 20:33,Katerina’s Café,25.54,6691,7/1/2014,L6267,7/1/2014
248,7/1/2014 20:34,Guy's Gyros,23.12,5368,7/1/2014,L2247,7/1/2014
249,7/1/2014 20:34,Hippokampos,70.19,1321,7/1/2014,L4149,NA
250,7/1/2014 20:47,Katerina’s Café,32.83,3492,7/1/2014,L7814,7/1/2014
251,7/1/2014 20:49,Ouzeri Elian,20.53,2681,7/1/2014,L1107,7/1/2014
252,7/1/2014 20:51,Hippokampos,32.99,8156,7/1/2014,L5224,NA
253,7/1/2014 21:01,Katerina’s Café,33.29,9405,7/1/2014,L3259,7/1/2014
254,7/1/2014 21:03,Hippokampos,21.2,2540,7/1/2014,L5947,7/1/2014
255,7/1/2014 21:17,Hippokampos,37.88,2463,7/1/2014,L6886,7/1/2014
256,7/1/2014 21:19,Katerina’s Café,18.35,1310,7/1/2014,L8012,7/1/2014
257,7/1/2014 21:21,Hippokampos,35.85,7688,7/1/2014,L4164,NA
258,7/1/2014 21:51,Hippokampos,22.18,8332,7/1/2014,L2070,7/1/2014
259,8/1/2014 7:31,Brew've Been Served,15.66,7354,8/1/2014,L9254,8/1/2014
260,8/1/2014 7:39,Hallowed Grounds,8.15,1874,8/1/2014,L4424,8/1/2014
261,8/1/2014 7:39,Hallowed Grounds,8.28,1310,8/1/2014,L8012,NA
262,8/1/2014 7:39,Hallowed Grounds,12.19,7108,8/1/2014,L6544,NA
263,8/1/2014 7:40,Hallowed Grounds,5.85,8129,8/1/2014,L8328,8/1/2014
264,8/1/2014 7:42,Brew've Been Served,3.09,4948,8/1/2014,L9406,8/1/2014
265,8/1/2014 7:43,Hallowed Grounds,3.4,9617,8/1/2014,L5553,8/1/2014
266,8/1/2014 7:47,Hallowed Grounds,3.11,3492,8/1/2014,L7814,8/1/2014
267,8/1/2014 7:48,Brew've Been Served,8.27,6816,8/1/2014,L8148,8/1/2014
268,8/1/2014 7:48,Brew've Been Served,19.17,9683,8/1/2014,L7291,8/1/2014
269,8/1/2014 7:48,Brew've Been Served,32.92,3853,8/1/2014,L1485,NA
270,8/1/2014 7:50,Brew've Been Served,33.68,9405,8/1/2014,L3259,NA
271,8/1/2014 7:50,Hallowed Grounds,3.9,2681,8/1/2014,L1107,8/1/2014
272,8/1/2014 7:51,Coffee Cameleon,6.59,7253,8/1/2014,L1682,8/1/2014
273,8/1/2014 7:52,Coffee Cameleon,12.26,5921,8/1/2014,L3295,8/1/2014
274,8/1/2014 7:55,Brew've Been Served,91.87,3484,8/1/2014,L2490,NA
275,8/1/2014 7:55,Hallowed Grounds,79.92,7889,8/1/2014,L6119,NA
276,8/1/2014 7:56,Hallowed Grounds,12.86,9551,8/1/2014,L5777,NA
277,8/1/2014 7:57,Brew've Been Served,74.88,5368,8/1/2014,L2247,NA
278,8/1/2014 7:57,Hallowed Grounds,11.63,6691,8/1/2014,L6267,8/1/2014
279,8/1/2014 7:58,Brew've Been Served,8.4,5407,8/1/2014,L4034,8/1/2014
280,8/1/2014 7:59,Coffee Cameleon,15.71,2142,8/1/2014,L9637,8/1/2014
281,8/1/2014 8:00,Brew've Been Served,32.3,4795,8/1/2014,L8566,NA
282,8/1/2014 8:01,Brew've Been Served,3.42,7384,8/1/2014,L3800,8/1/2014
283,8/1/2014 8:01,Brew've Been Served,3.92,8202,8/1/2014,L2343,8/1/2014
284,8/1/2014 8:01,Brew've Been Served,17.13,7819,8/1/2014,L5259,8/1/2014
285,8/1/2014 8:03,Brew've Been Served,10.15,6901,8/1/2014,L9363,8/1/2014
286,8/1/2014 8:09,Brew've Been Served,11.48,8411,8/1/2014,L6110,8/1/2014
287,8/1/2014 8:16,Brew've Been Served,7.26,1286,8/1/2014,L3572,8/1/2014
288,8/1/2014 8:18,Brew've Been Served,6.3,4434,8/1/2014,L2169,8/1/2014
289,8/1/2014 8:22,Coffee Cameleon,16.17,2418,8/1/2014,L9018,8/1/2014
290,8/1/2014 9:43,Carlyle Chemical Inc.,3048.31,7792,8/1/2014,L5756,NA
291,8/1/2014 9:54,Nationwide Refinery,4513.16,9152,8/1/2014,L5485,8/1/2014
292,8/1/2014 10:14,Nationwide Refinery,3674.32,9735,8/1/2014,L9633,8/1/2014
293,8/1/2014 11:28,Stewart and Sons Fabrication,1738.26,9152,8/1/2014,L5485,8/1/2014
294,8/1/2014 11:58,Stewart and Sons Fabrication,1673.77,9735,8/1/2014,L9633,8/1/2014
295,8/1/2014 12:00,Bean There Done That,8.06,1877,8/1/2014,L3014,NA
296,8/1/2014 12:00,Bean There Done That,12.07,9635,8/1/2014,L3191,8/1/2014
297,8/1/2014 12:00,Bean There Done That,17.45,1415,8/1/2014,L7783,8/1/2014
298,8/1/2014 12:00,Bean There Done That,94.96,1321,8/1/2014,L4149,NA
299,8/1/2014 12:00,Brewed Awakenings,11.73,7688,8/1/2014,L4164,8/1/2014
300,8/1/2014 12:00,Brewed Awakenings,12.32,2540,8/1/2014,L5947,8/1/2014
301,8/1/2014 12:00,Brewed Awakenings,15.03,8332,8/1/2014,L2070,NA
